"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
161,96.2,96.2,3.8,"Zollikon ZH","Zollikon (ZH)","Zollikon ZH",,,
172,51.6,51.6,48.4,"Fehraltorf ZH","Fehraltorf (ZH)","Fehraltorf ZH",,,
173,53.5,53.5,46.5,"Hittnau ZH","Hittnau (ZH)","Hittnau ZH",,,
176,43.6,43.6,56.4,"Lindau ZH","Lindau (ZH)","Lindau ZH",,,
177,51.1,51.1,48.9,"Pfäffikon ZH","Pfäffikon (ZH)","Pfäffikon ZH",,,
178,55.8,55.8,44.2,"Russikon ZH","Russikon (ZH)","Russikon ZH",,,
180,48,48,52,"Weisslingen ZH","Weisslingen (ZH)","Weisslingen ZH",,,
181,36.1,36.1,63.9,"Wila ZH","Wila (ZH)","Wila ZH",,,
182,76.8,76.8,23.2,"Wildberg ZH","Wildberg (ZH)","Wildberg ZH",,,
191,73.3,73.3,26.7,"Dübendorf ZH","Dübendorf (ZH)","Dübendorf ZH",,,
192,17.8,17.8,82.2,"Egg ZH","Egg (ZH)","Egg ZH",,,
193,33.6,33.6,66.4,"Fällanden ZH","Fällanden (ZH)","Fällanden ZH",,,
194,57.1,57.1,42.9,"Greifensee ZH","Greifensee (ZH)","Greifensee ZH",,,
195,43.3,43.3,56.7,"Maur ZH","Maur (ZH)","Maur ZH",,,
196,97.6,97.6,2.4,"Mönchaltorf ZH","Mönchaltorf (ZH)","Mönchaltorf ZH",,,
197,44.5,44.5,55.5,"Schwerzenbach ZH","Schwerzenbach (ZH)","Schwerzenbach ZH",,,
198,53.6,53.6,46.4,"Uster ZH","Uster (ZH)","Uster ZH",,,
199,88.5,88.5,11.5,"Volketswil ZH","Volketswil (ZH)","Volketswil ZH",,,
200,9.5,9.5,90.5,"Wangen-Brüttisellen ZH","Wangen-Brüttisellen (ZH)","Wangen-Brüttisellen ZH",,,
211,43.4,43.4,56.6,"Altikon ZH","Altikon (ZH)","Altikon ZH",,,
213,62.4,62.4,37.6,"Brütten ZH","Brütten (ZH)","Brütten ZH",,,
214,81.5,81.5,18.5,"Dägerlen ZH","Dägerlen (ZH)","Dägerlen ZH",,,
215,59.6,59.6,40.4,"Dättlikon ZH","Dättlikon (ZH)","Dättlikon ZH",,,
216,57.7,57.7,42.3,"Dinhard ZH","Dinhard (ZH)","Dinhard ZH",,,
218,57.3,57.3,42.7,"Ellikon an der Thur ZH","Ellikon an der Thur (ZH)","Ellikon an der Thur ZH",,,
219,62.5,62.5,37.5,"Elsau ZH","Elsau (ZH)","Elsau ZH",,,
220,61.6,61.6,38.4,"Hagenbuch ZH","Hagenbuch (ZH)","Hagenbuch ZH",,,
221,14.8,14.8,85.2,"Hettlingen ZH","Hettlingen (ZH)","Hettlingen ZH",,,
223,4.7,4.7,95.3,"Neftenbach ZH","Neftenbach (ZH)","Neftenbach ZH",,,
224,6.9,6.9,93.1,"Pfungen ZH","Pfungen (ZH)","Pfungen ZH",,,
225,27.3,27.3,72.7,"Rickenbach ZH","Rickenbach (ZH)","Rickenbach ZH",,,
226,83,83,17,"Schlatt ZH","Schlatt (ZH)","Schlatt ZH",,,
227,22.4,22.4,77.6,"Seuzach ZH","Seuzach (ZH)","Seuzach ZH",,,
228,21.7,21.7,78.3,"Turbenthal ZH","Turbenthal (ZH)","Turbenthal ZH",,,
230,52.4,52.4,47.6,"Winterthur ZH","Winterthour (ZH)","Winterthur ZH",,,
231,12.1,12.1,87.9,"Zell ZH","Zell (ZH)","Zell ZH",,,
241,22.4,22.4,77.6,"Aesch ZH","Aesch (ZH)","Aesch ZH",,,
242,83.1,83.1,16.9,"Birmensdorf ZH","Birmensdorf (ZH)","Birmensdorf ZH",,,
243,53.7,53.7,46.3,"Dietikon ZH","Dietikon (ZH)","Dietikon ZH",,,
244,72.5,72.5,27.5,"Geroldswil ZH","Geroldswil (ZH)","Geroldswil ZH",,,
245,6.4,6.4,93.6,"Oberengstringen ZH","Oberengstringen (ZH)","Oberengstringen ZH",,,
246,73.2,73.2,26.8,"Oetwil an der Limmat ZH","Oetwil an der Limmat (ZH)","Oetwil an der Limmat ZH",,,
247,47.8,47.8,52.2,"Schlieren ZH","Schlieren (ZH)","Schlieren ZH",,,
248,22.9,22.9,77.1,"Uitikon ZH","Uitikon (ZH)","Uitikon ZH",,,
249,31.6,31.6,68.4,"Unterengstringen ZH","Unterengstringen (ZH)","Unterengstringen ZH",,,
250,55.8,55.8,44.2,"Urdorf ZH","Urdorf (ZH)","Urdorf ZH",,,
251,80.2,80.2,19.8,"Weiningen ZH","Weiningen (ZH)","Weiningen ZH",,,
261,33.2,33.2,66.8,"Zürich ZH","Zurich (ZH)","Zurigo ZH",,,
292,27.5,27.5,72.5,"Stammheim ZH","Stammheim (ZH)","Stammheim ZH",,,
293,54.1,54.1,45.9,"Wädenswil ZH","Wädenswil (ZH)","Wädenswil ZH",,,
294,69.7,69.7,30.3,"Elgg ZH","Elgg (ZH)","Elgg ZH",,,
295,30.8,30.8,69.2,"Horgen ZH","Horgen (ZH)","Horgen ZH",,,
296,57.9,57.9,42.1,"Illnau-Effretikon ZH","Illnau-Effretikon (ZH)","Illnau-Effretikon ZH",,,
297,55.7,55.7,44.3,"Bauma ZH","Bauma (ZH)","Bauma ZH",,,
298,60.3,60.3,39.7,"Wiesendangen ZH","Wiesendangen (ZH)","Wiesendangen ZH",,,
